2021-01-02_13:48:15 regensensor_aussen reread
2021-01-05_16:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_16:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_17:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_17:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: - Month: - Year: -
2021-01-05_17:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_17:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_17:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_18:12:40 regensensor_aussen reading01User: 846.2
2021-01-05_18:12:40 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_18:12:40 regensensor_aussen reading01User: 846.2
2021-01-05_18:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_18:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: - Month: - Year: -
2021-01-05_18:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_18:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_18:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_19:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_19:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: - Month: - Year: -
2021-01-05_19:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_19:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_19:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_20:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_20:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: - Month: - Year: -
2021-01-05_20:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_20:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_20:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_21:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_21:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: - Month: - Year: -
2021-01-05_21:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_21:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_21:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_22:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_22:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: - Month: - Year: -
2021-01-05_22:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_22:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_22:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_23:46:00 regensensor_aussen reading01User: 846.2
2021-01-05_23:46:00 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-05_11:37:13 )
2021-01-05_23:46:00 regensensor_aussen reading01User: 846.2
2021-01-05_23:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-06 )
2021-01-05_23:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: 0.0 Month: - Year: - (since: 2021-01-05_11:37:13 )
2021-01-05_23:59:55 regensensor_aussen reading01User: 846.2
2021-01-05_23:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-06 )
2021-01-05_23:59:55 regensensor_aussen reading01User: 846.2
2021-01-06_00:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-06 )
2021-01-06_00:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: 0.0 Month: - Year: - (since: 2021-01-05_11:37:13 )
2021-01-06_00:59:55 regensensor_aussen reading01User: 846.2
2021-01-06_00:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-06 )
2021-01-06_00:59:55 regensensor_aussen reading01User: 846.2
2021-01-06_01:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-06 )
2021-01-06_01:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: 0.0 Month: - Year: - (since: 2021-01-05_11:37:13 )
2021-01-06_01:59:55 regensensor_aussen reading01User: 846.2
2021-01-06_01:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-06 )
2021-01-06_01:59:55 regensensor_aussen reading01User: 846.2
2021-01-06_02:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-06 )
2021-01-06_02:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: 0.0 Month: - Year: - (since: 2021-01-05_11:37:13 )
2021-01-06_02:59:55 regensensor_aussen reading01User: 846.2
2021-01-06_02:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-06 )
2021-01-06_02:59:55 regensensor_aussen reading01User: 846.2
2021-01-06_03:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-06 )
2021-01-06_03:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: 0.0 Month: - Year: - (since: 2021-01-05_11:37:13 )
2021-01-06_03:59:55 regensensor_aussen reading01User: 846.2
2021-01-06_03:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-06 )
2021-01-06_03:59:55 regensensor_aussen reading01User: 846.2
2021-01-06_04:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-06 )
2021-01-06_04:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: 0.0 Month: - Year: - (since: 2021-01-05_11:37:13 )
2021-01-06_04:59:55 regensensor_aussen reading01User: 846.2
2021-01-06_04:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.0 Month: 0.0 Year: 0.0 (since: 2021-01-06 )
2021-01-06_04:59:55 regensensor_aussen reading01User: 846.2
2021-01-06_05:19:20 regensensor_aussen rainamount: 846,5
2021-01-06_05:19:20 regensensor_aussen reading01User: 846.5
2021-01-06_05:19:20 regensensor_aussen statReading01User: Hour: 0.3 Day: 0.3 Month: 0.3 Year: 0.3 (since: 2021-01-06 )
2021-01-06_05:19:20 regensensor_aussen reading01User: 846.5
2021-01-06_05:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.3 Month: 0.3 Year: 0.3 (since: 2021-01-06 )
2021-01-06_05:59:55 regensensor_aussen statReading01UserLast: Hour: 0.3 Day: 0.0 Month: - Year: - (since: 2021-01-05_11:37:13 )
2021-01-06_05:59:55 regensensor_aussen reading01User: 846.5
2021-01-06_05:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.3 Month: 0.3 Year: 0.3 (since: 2021-01-06 )
2021-01-06_05:59:55 regensensor_aussen reading01User: 846.5
2021-01-06_06:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.3 Month: 0.3 Year: 0.3 (since: 2021-01-06 )
2021-01-06_06:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: 0.0 Month: - Year: - (since: 2021-01-05_11:37:13 )
2021-01-06_06:59:55 regensensor_aussen reading01User: 846.5
2021-01-06_06:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.3 Month: 0.3 Year: 0.3 (since: 2021-01-06 )
2021-01-06_06:59:55 regensensor_aussen reading01User: 846.5
2021-01-06_07:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.3 Month: 0.3 Year: 0.3 (since: 2021-01-06 )
2021-01-06_07:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: 0.0 Month: - Year: - (since: 2021-01-05_11:37:13 )
2021-01-06_07:59:55 regensensor_aussen reading01User: 846.5
2021-01-06_07:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.3 Month: 0.3 Year: 0.3 (since: 2021-01-06 )
2021-01-06_07:59:55 regensensor_aussen reading01User: 846.5
2021-01-06_08:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.3 Month: 0.3 Year: 0.3 (since: 2021-01-06 )
2021-01-06_08:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: 0.0 Month: - Year: - (since: 2021-01-05_11:37:13 )
2021-01-06_08:59:55 regensensor_aussen reading01User: 846.5
2021-01-06_08:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.3 Month: 0.3 Year: 0.3 (since: 2021-01-06 )
2021-01-06_08:59:55 regensensor_aussen reading01User: 846.5
2021-01-06_09:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.3 Month: 0.3 Year: 0.3 (since: 2021-01-06 )
2021-01-06_09:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: 0.0 Month: - Year: - (since: 2021-01-05_11:37:13 )
2021-01-06_09:59:55 regensensor_aussen reading01User: 846.5
2021-01-06_09:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.3 Month: 0.3 Year: 0.3 (since: 2021-01-06 )
2021-01-06_09:59:55 regensensor_aussen reading01User: 846.5
2021-01-06_10:52:40 regensensor_aussen rainamount: 846,5
2021-01-06_10:52:40 regensensor_aussen reading01User: 846.5
2021-01-06_10:52:40 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.3 Month: 0.3 Year: 0.3 (since: 2021-01-06 )
2021-01-06_10:52:40 regensensor_aussen reading01User: 846.5
2021-01-06_10:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.3 Month: 0.3 Year: 0.3 (since: 2021-01-06 )
2021-01-06_10:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: 0.0 Month: - Year: - (since: 2021-01-05_11:37:13 )
2021-01-06_10:59:55 regensensor_aussen reading01User: 846.5
2021-01-06_10:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.3 Month: 0.3 Year: 0.3 (since: 2021-01-06 )
2021-01-06_10:59:55 regensensor_aussen reading01User: 846.5
2021-01-06_11:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.3 Month: 0.3 Year: 0.3 (since: 2021-01-06 )
2021-01-06_11:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: 0.0 Month: - Year: - (since: 2021-01-05_11:37:13 )
2021-01-06_11:59:55 regensensor_aussen reading01User: 846.5
2021-01-06_11:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.3 Month: 0.3 Year: 0.3 (since: 2021-01-06 )
2021-01-06_11:59:55 regensensor_aussen reading01User: 846.5
2021-01-06_12:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.3 Month: 0.3 Year: 0.3 (since: 2021-01-06 )
2021-01-06_12:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: 0.0 Month: - Year: - (since: 2021-01-05_11:37:13 )
2021-01-06_12:59:55 regensensor_aussen reading01User: 846.5
2021-01-06_12:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.3 Month: 0.3 Year: 0.3 (since: 2021-01-06 )
2021-01-06_12:59:55 regensensor_aussen reading01User: 846.5
2021-01-06_13:59:55 regensensor_aussen statReading01User: Hour: 0.0 Day: 0.3 Month: 0.3 Year: 0.3 (since: 2021-01-06 )
2021-01-06_13:59:55 regensensor_aussen statReading01UserLast: Hour: 0.0 Day: 0.0 Month: - Year: - (since: 2021-01-05_11:37:13 )
2021-01-06_13:59:55 regensensor_aussen reading01User: 846.5
